timestamp,day,hour,voltage,current,power,kwh,biaya
2026-04-23 06:51:03,23,6,219.3,0.44,54.7,0.01,18.78
2026-04-23 06:51:09,23,6,218.9,0.41,49.5,0.01,18.78
2026-04-23 06:51:17,23,6,219.3,0.49,60.4,0.01,18.78
2026-04-23 06:51:20,23,6,219.8,0.43,53.5,0.01,18.78
2026-04-23 06:51:25,23,6,218.1,0.43,53.1,0.01,18.78
2026-04-23 06:51:31,23,6,218.1,0.44,53.4,0.01,18.78
2026-04-23 06:51:37,23,6,219.1,0.42,51.6,0.01,18.78
2026-04-23 06:51:43,23,6,219.3,0.43,52.7,0.01,20.23
2026-04-23 06:51:49,23,6,218.6,0.43,52.0,0.01,20.23
2026-04-23 06:51:55,23,6,219.5,0.43,52.9,0.01,20.23
2026-04-23 06:52:00,23,6,219.2,0.43,52.7,0.01,20.23
2026-04-23 06:52:06,23,6,219.1,0.47,58.0,0.01,20.23
2026-04-23 06:52:12,23,6,218.7,0.45,55.8,0.01,20.23
2026-04-23 06:52:18,23,6,218.7,0.45,55.4,0.01,20.23
2026-04-23 06:52:24,23,6,218.0,0.46,56.6,0.01,20.23
2026-04-23 06:52:30,23,6,218.7,0.44,54.2,0.01,20.23
2026-04-23 06:52:36,23,6,219.1,0.41,49.7,0.01,20.23
2026-04-23 06:52:42,23,6,219.1,0.41,50.0,0.01,20.23
2026-04-23 06:52:48,23,6,219.2,0.4,49.3,0.01,21.67
2026-04-23 06:52:53,23,6,218.8,0.44,54.9,0.01,21.67
2026-04-23 06:52:59,23,6,219.0,0.44,53.6,0.01,21.67
2026-04-23 06:53:05,23,6,219.5,0.43,52.9,0.01,21.67
2026-04-23 06:53:11,23,6,218.7,0.44,53.9,0.01,21.67
2026-04-23 06:53:17,23,6,219.1,0.43,52.1,0.01,21.67
2026-04-23 06:53:23,23,6,219.6,0.43,52.2,0.01,21.67
2026-04-23 06:53:29,23,6,219.7,0.43,53.3,0.01,21.67
2026-04-23 06:53:34,23,6,220.1,0.4,48.8,0.01,21.67
2026-04-23 06:53:40,23,6,220.3,0.41,49.8,0.01,21.67
2026-04-23 06:53:46,23,6,220.4,0.4,49.2,0.01,21.67
2026-04-23 06:53:52,23,6,225.4,0.4,50.1,0.01,21.67
2026-04-23 06:53:58,23,6,225.6,0.4,49.8,0.01,21.67
2026-04-23 06:54:04,23,6,225.4,0.4,49.9,0.02,23.12
2026-04-23 06:54:10,23,6,225.0,0.43,54.2,0.02,23.12
2026-04-23 06:54:16,23,6,225.8,0.41,52.0,0.02,23.12
2026-04-23 06:54:22,23,6,225.4,0.39,49.0,0.02,23.12
2026-04-23 06:54:28,23,6,224.4,0.4,49.7,0.02,23.12
2026-04-23 06:54:33,23,6,224.2,0.4,50.1,0.02,23.12
2026-04-23 06:54:39,23,6,224.5,0.4,50.0,0.02,23.12
2026-04-23 06:54:45,23,6,224.5,0.39,49.2,0.02,23.12
2026-04-23 06:54:51,23,6,224.6,0.39,48.7,0.02,23.12
2026-04-23 06:54:56,23,6,224.4,0.39,49.3,0.02,23.12
2026-04-23 06:55:02,23,6,224.1,0.4,49.8,0.02,23.12
2026-04-23 06:55:08,23,6,224.2,0.4,50.4,0.02,24.56
2026-04-23 06:55:14,23,6,223.9,0.39,49.1,0.02,24.56
2026-04-23 06:55:19,23,6,223.9,0.4,50.5,0.02,24.56
2026-04-23 06:55:25,23,6,223.4,0.4,49.6,0.02,24.56
2026-04-23 06:55:31,23,6,223.7,0.39,48.8,0.02,24.56
2026-04-23 06:55:37,23,6,222.8,0.4,50.4,0.02,24.56
2026-04-23 06:55:43,23,6,222.7,0.39,49.3,0.02,24.56
2026-04-23 06:55:49,23,6,222.7,0.4,50.0,0.02,24.56
2026-04-23 06:55:54,23,6,222.9,0.4,49.6,0.02,24.56
2026-04-23 06:56:00,23,6,223.1,0.39,49.5,0.02,24.56
2026-04-23 06:56:06,23,6,223.4,0.39,49.4,0.02,24.56
2026-04-23 06:56:12,23,6,223.2,0.39,49.3,0.02,26.0
2026-04-23 06:56:18,23,6,223.2,0.39,49.2,0.02,26.0
2026-04-23 06:56:23,23,6,223.2,0.39,49.2,0.02,26.0
2026-04-23 06:56:29,23,6,223.1,0.4,50.0,0.02,26.0
